"Statistic Label","CensusYear","Sex","Means of Travel","At Work, Childcare, School or College","UNIT","VALUE"
"Persons Usually Resident and Present in the State","1996","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","514"
"Persons Usually Resident and Present in the State","1996","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","4657"
"Persons Usually Resident and Present in the State","1996","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","6362"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motorcycle or scooter","All persons","Number","13164"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","12164"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motorcycle or scooter","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","275"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","725"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motor car: Driver","All persons","Number","606417"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","599282"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motor car: Driver","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","1099"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","6036"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motor car: Passenger","All persons","Number","360953"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","112432"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motor car: Passenger","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","167904"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","71695"
"Persons Usually Resident and Present in the State","1996","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","8922"
"Persons Usually Resident and Present in the State","1996","Both sexes","Other means (incl. lorry or van)","All persons","Number","59291"
"Persons Usually Resident and Present in the State","1996","Both sexes","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","55158"
"Persons Usually Resident and Present in the State","1996","Both sexes","Other means (incl. lorry or van)","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Both sexes","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","2203"
"Persons Usually Resident and Present in the State","1996","Both sexes","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","1378"
"Persons Usually Resident and Present in the State","1996","Both sexes","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","552"
"Persons Usually Resident and Present in the State","1996","Both sexes","Not stated","All persons","Number","83981"
"Persons Usually Resident and Present in the State","1996","Both sexes","Not stated","Population aged 15 years and over at work","Number","40560"
"Persons Usually Resident and Present in the State","1996","Both sexes","Not stated","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","27293"
"Persons Usually Resident and Present in the State","1996","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","11555"
"Persons Usually Resident and Present in the State","1996","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","4573"
"Persons Usually Resident and Present in the State","1996","Both sexes","All means of travel","All persons","Number","2063442"
"Persons Usually Resident and Present in the State","1996","Both sexes","All means of travel","Population aged 15 years and over at work","Number","1135261"
"Persons Usually Resident and Present in the State","1996","Both sexes","All means of travel","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","464794"
"Persons Usually Resident and Present in the State","1996","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","363919"
"Persons Usually Resident and Present in the State","1996","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","99468"
"Persons Usually Resident and Present in the State","1996","Male","On foot","All persons","Number","209525"
"Persons Usually Resident and Present in the State","1996","Male","On foot","Population aged 15 years and over at work","Number","67964"
"Persons Usually Resident and Present in the State","1996","Male","On foot","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Male","On foot","Children at school aged between 5 and 12 years","Number","79164"
"Persons Usually Resident and Present in the State","1996","Male","On foot","Students at school or college aged between 13 and 18 years","Number","48906"
"Persons Usually Resident and Present in the State","1996","Male","On foot","Students at school or college aged 19 years and over","Number","13491"
"Persons Usually Resident and Present in the State","1996","Male","Bicycle","All persons","Number","71689"
"Persons Usually Resident and Present in the State","1996","Male","Bicycle","Population aged 15 years and over at work","Number","33852"
"Persons Usually Resident and Present in the State","1996","Male","Bicycle","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Male","Bicycle","Children at school aged between 5 and 12 years","Number","7837"
"Persons Usually Resident and Present in the State","1996","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","21783"
"Persons Usually Resident and Present in the State","1996","Male","Bicycle","Students at school or college aged 19 years and over","Number","8217"
"Persons Usually Resident and Present in the State","1996","Male","Bus, minibus or coach","All persons","Number","171820"
"Persons Usually Resident and Present in the State","1996","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","40512"
"Persons Usually Resident and Present in the State","1996","Male","Bus, minibus or coach","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","51008"
"Persons Usually Resident and Present in the State","1996","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","67519"
"Persons Usually Resident and Present in the State","1996","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","12781"
"Persons Usually Resident and Present in the State","1996","Male","Train, DART or LUAS","All persons","Number","17273"
"Persons Usually Resident and Present in the State","1996","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","11489"
"Persons Usually Resident and Present in the State","1996","Male","Train, DART or LUAS","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","306"
"Persons Usually Resident and Present in the State","1996","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","2330"
"Persons Usually Resident and Present in the State","1996","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","3148"
"Persons Usually Resident and Present in the State","1996","Male","Motorcycle or scooter","All persons","Number","11681"
"Persons Usually Resident and Present in the State","1996","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","10874"
"Persons Usually Resident and Present in the State","1996","Male","Motorcycle or scooter","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","238"
"Persons Usually Resident and Present in the State","1996","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","569"
"Persons Usually Resident and Present in the State","1996","Male","Motor car: Driver","All persons","Number","381788"
"Persons Usually Resident and Present in the State","1996","Male","Motor car: Driver","Population aged 15 years and over at work","Number","378075"
"Persons Usually Resident and Present in the State","1996","Male","Motor car: Driver","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","636"
"Persons Usually Resident and Present in the State","1996","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","3077"
"Persons Usually Resident and Present in the State","1996","Male","Motor car: Passenger","All persons","Number","167847"
"Persons Usually Resident and Present in the State","1996","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","45519"
"Persons Usually Resident and Present in the State","1996","Male","Motor car: Passenger","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","84966"
"Persons Usually Resident and Present in the State","1996","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","33103"
"Persons Usually Resident and Present in the State","1996","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","4259"
"Persons Usually Resident and Present in the State","1996","Male","Other means (incl. lorry or van)","All persons","Number","54024"
"Persons Usually Resident and Present in the State","1996","Male","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","51862"
"Persons Usually Resident and Present in the State","1996","Male","Other means (incl. lorry or van)","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Male","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","1109"
"Persons Usually Resident and Present in the State","1996","Male","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","728"
"Persons Usually Resident and Present in the State","1996","Male","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","325"
"Persons Usually Resident and Present in the State","1996","Male","Not stated","All persons","Number","49892"
"Persons Usually Resident and Present in the State","1996","Male","Not stated","Population aged 15 years and over at work","Number","26711"
"Persons Usually Resident and Present in the State","1996","Male","Not stated","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Male","Not stated","Children at school aged between 5 and 12 years","Number","14406"
"Persons Usually Resident and Present in the State","1996","Male","Not stated","Students at school or college aged between 13 and 18 years","Number","5946"
"Persons Usually Resident and Present in the State","1996","Male","Not stated","Students at school or college aged 19 years and over","Number","2829"
"Persons Usually Resident and Present in the State","1996","Male","All means of travel","All persons","Number","1135539"
"Persons Usually Resident and Present in the State","1996","Male","All means of travel","Population aged 15 years and over at work","Number","666858"
"Persons Usually Resident and Present in the State","1996","Male","All means of travel","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Male","All means of travel","Children at school aged between 5 and 12 years","Number","238796"
"Persons Usually Resident and Present in the State","1996","Male","All means of travel","Students at school or college aged between 13 and 18 years","Number","181189"
"Persons Usually Resident and Present in the State","1996","Male","All means of travel","Students at school or college aged 19 years and over","Number","48696"
"Persons Usually Resident and Present in the State","1996","Female","On foot","All persons","Number","227416"
"Persons Usually Resident and Present in the State","1996","Female","On foot","Population aged 15 years and over at work","Number","80412"
"Persons Usually Resident and Present in the State","1996","Female","On foot","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Female","On foot","Children at school aged between 5 and 12 years","Number","75612"
"Persons Usually Resident and Present in the State","1996","Female","On foot","Students at school or college aged between 13 and 18 years","Number","53325"
"Persons Usually Resident and Present in the State","1996","Female","On foot","Students at school or college aged 19 years and over","Number","18067"
"Persons Usually Resident and Present in the State","1996","Female","Bicycle","All persons","Number","27319"
"Persons Usually Resident and Present in the State","1996","Female","Bicycle","Population aged 15 years and over at work","Number","12580"
"Persons Usually Resident and Present in the State","1996","Female","Bicycle","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Female","Bicycle","Children at school aged between 5 and 12 years","Number","3834"
"Persons Usually Resident and Present in the State","1996","Female","Bicycle","Students at school or college aged between 13 and 18 years","Number","6419"
"Persons Usually Resident and Present in the State","1996","Female","Bicycle","Students at school or college aged 19 years and over","Number","4486"
"Persons Usually Resident and Present in the State","1996","Female","Bus, minibus or coach","All persons","Number","197766"
"Persons Usually Resident and Present in the State","1996","Female","Bus, minibus or coach","Population aged 15 years and over at work","Number","57777"
"Persons Usually Resident and Present in the State","1996","Female","Bus, minibus or coach","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Female","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","49425"
"Persons Usually Resident and Present in the State","1996","Female","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","75308"
"Persons Usually Resident and Present in the State","1996","Female","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","15256"
"Persons Usually Resident and Present in the State","1996","Female","Train, DART or LUAS","All persons","Number","16828"
"Persons Usually Resident and Present in the State","1996","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","11079"
"Persons Usually Resident and Present in the State","1996","Female","Train, DART or LUAS","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","208"
"Persons Usually Resident and Present in the State","1996","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","2327"
"Persons Usually Resident and Present in the State","1996","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","3214"
"Persons Usually Resident and Present in the State","1996","Female","Motorcycle or scooter","All persons","Number","1483"
"Persons Usually Resident and Present in the State","1996","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","1290"
"Persons Usually Resident and Present in the State","1996","Female","Motorcycle or scooter","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","37"
"Persons Usually Resident and Present in the State","1996","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","156"
"Persons Usually Resident and Present in the State","1996","Female","Motor car: Driver","All persons","Number","224629"
"Persons Usually Resident and Present in the State","1996","Female","Motor car: Driver","Population aged 15 years and over at work","Number","221207"
"Persons Usually Resident and Present in the State","1996","Female","Motor car: Driver","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","463"
"Persons Usually Resident and Present in the State","1996","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","2959"
"Persons Usually Resident and Present in the State","1996","Female","Motor car: Passenger","All persons","Number","193106"
"Persons Usually Resident and Present in the State","1996","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","66913"
"Persons Usually Resident and Present in the State","1996","Female","Motor car: Passenger","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","82938"
"Persons Usually Resident and Present in the State","1996","Female","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","38592"
"Persons Usually Resident and Present in the State","1996","Female","Motor car: Passenger","Students at school or college aged 19 years and over","Number","4663"
"Persons Usually Resident and Present in the State","1996","Female","Other means (incl. lorry or van)","All persons","Number","5267"
"Persons Usually Resident and Present in the State","1996","Female","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","3296"
"Persons Usually Resident and Present in the State","1996","Female","Other means (incl. lorry or van)","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Female","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","1094"
"Persons Usually Resident and Present in the State","1996","Female","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","650"
"Persons Usually Resident and Present in the State","1996","Female","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","227"
"Persons Usually Resident and Present in the State","1996","Female","Not stated","All persons","Number","34089"
"Persons Usually Resident and Present in the State","1996","Female","Not stated","Population aged 15 years and over at work","Number","13849"
"Persons Usually Resident and Present in the State","1996","Female","Not stated","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Female","Not stated","Children at school aged between 5 and 12 years","Number","12887"
"Persons Usually Resident and Present in the State","1996","Female","Not stated","Students at school or college aged between 13 and 18 years","Number","5609"
"Persons Usually Resident and Present in the State","1996","Female","Not stated","Students at school or college aged 19 years and over","Number","1744"
"Persons Usually Resident and Present in the State","1996","Female","All means of travel","All persons","Number","927903"
"Persons Usually Resident and Present in the State","1996","Female","All means of travel","Population aged 15 years and over at work","Number","468403"
"Persons Usually Resident and Present in the State","1996","Female","All means of travel","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1996","Female","All means of travel","Children at school aged between 5 and 12 years","Number","225998"
"Persons Usually Resident and Present in the State","1996","Female","All means of travel","Students at school or college aged between 13 and 18 years","Number","182730"
"Persons Usually Resident and Present in the State","1996","Female","All means of travel","Students at school or college aged 19 years and over","Number","50772"
"Persons Usually Resident and Present in the State","2002","Both sexes","On foot","All persons","Number","423483"
"Persons Usually Resident and Present in the State","2002","Both sexes","On foot","Population aged 15 years and over at work","Number","183848"
"Persons Usually Resident and Present in the State","2002","Both sexes","On foot","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","112511"
"Persons Usually Resident and Present in the State","2002","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","82616"
"Persons Usually Resident and Present in the State","2002","Both sexes","On foot","Students at school or college aged 19 years and over","Number","44508"
"Persons Usually Resident and Present in the State","2002","Both sexes","Bicycle","All persons","Number","57842"
"Persons Usually Resident and Present in the State","2002","Both sexes","Bicycle","Population aged 15 years and over at work","Number","34250"
"Persons Usually Resident and Present in the State","2002","Both sexes","Bicycle","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","4828"
"Persons Usually Resident and Present in the State","2002","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","11118"
"Persons Usually Resident and Present in the State","2002","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","7646"
"Persons Usually Resident and Present in the State","2002","Both sexes","Bus, minibus or coach","All persons","Number","341299"
"Persons Usually Resident and Present in the State","2002","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","107315"
"Persons Usually Resident and Present in the State","2002","Both sexes","Bus, minibus or coach","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","75993"
"Persons Usually Resident and Present in the State","2002","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","120555"
"Persons Usually Resident and Present in the State","2002","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","37436"
"Persons Usually Resident and Present in the State","2002","Both sexes","Train, DART or LUAS","All persons","Number","45976"
"Persons Usually Resident and Present in the State","2002","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","33066"
"Persons Usually Resident and Present in the State","2002","Both sexes","Train, DART or LUAS","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","469"
"Persons Usually Resident and Present in the State","2002","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","4347"
"Persons Usually Resident and Present in the State","2002","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","8094"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motorcycle or scooter","All persons","Number","20250"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","17329"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motorcycle or scooter","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","1372"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","1549"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motor car: Driver","All persons","Number","909822"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","887168"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motor car: Driver","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","2564"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","20090"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motor car: Passenger","All persons","Number","427962"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","108382"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motor car: Passenger","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","217308"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","89468"
"Persons Usually Resident and Present in the State","2002","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","12804"
"Persons Usually Resident and Present in the State","2002","Both sexes","Other means (incl. lorry or van)","All persons","Number","118800"
"Persons Usually Resident and Present in the State","2002","Both sexes","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","115168"
"Persons Usually Resident and Present in the State","2002","Both sexes","Other means (incl. lorry or van)","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Both sexes","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","2002"
"Persons Usually Resident and Present in the State","2002","Both sexes","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","1065"
"Persons Usually Resident and Present in the State","2002","Both sexes","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","565"
"Persons Usually Resident and Present in the State","2002","Both sexes","Not stated","All persons","Number","45380"
"Persons Usually Resident and Present in the State","2002","Both sexes","Not stated","Population aged 15 years and over at work","Number","26788"
"Persons Usually Resident and Present in the State","2002","Both sexes","Not stated","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","12481"
"Persons Usually Resident and Present in the State","2002","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","4034"
"Persons Usually Resident and Present in the State","2002","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","2077"
"Persons Usually Resident and Present in the State","2002","Both sexes","All means of travel","All persons","Number","2390814"
"Persons Usually Resident and Present in the State","2002","Both sexes","All means of travel","Population aged 15 years and over at work","Number","1513314"
"Persons Usually Resident and Present in the State","2002","Both sexes","All means of travel","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","425592"
"Persons Usually Resident and Present in the State","2002","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","317139"
"Persons Usually Resident and Present in the State","2002","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","134769"
"Persons Usually Resident and Present in the State","2002","Male","On foot","All persons","Number","199371"
"Persons Usually Resident and Present in the State","2002","Male","On foot","Population aged 15 years and over at work","Number","83279"
"Persons Usually Resident and Present in the State","2002","Male","On foot","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Male","On foot","Children at school aged between 5 and 12 years","Number","57570"
"Persons Usually Resident and Present in the State","2002","Male","On foot","Students at school or college aged between 13 and 18 years","Number","40249"
"Persons Usually Resident and Present in the State","2002","Male","On foot","Students at school or college aged 19 years and over","Number","18273"
"Persons Usually Resident and Present in the State","2002","Male","Bicycle","All persons","Number","45651"
"Persons Usually Resident and Present in the State","2002","Male","Bicycle","Population aged 15 years and over at work","Number","26423"
"Persons Usually Resident and Present in the State","2002","Male","Bicycle","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Male","Bicycle","Children at school aged between 5 and 12 years","Number","3640"
"Persons Usually Resident and Present in the State","2002","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","10072"
"Persons Usually Resident and Present in the State","2002","Male","Bicycle","Students at school or college aged 19 years and over","Number","5516"
"Persons Usually Resident and Present in the State","2002","Male","Bus, minibus or coach","All persons","Number","160800"
"Persons Usually Resident and Present in the State","2002","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","48286"
"Persons Usually Resident and Present in the State","2002","Male","Bus, minibus or coach","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","38590"
"Persons Usually Resident and Present in the State","2002","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","57417"
"Persons Usually Resident and Present in the State","2002","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","16507"
"Persons Usually Resident and Present in the State","2002","Male","Train, DART or LUAS","All persons","Number","23091"
"Persons Usually Resident and Present in the State","2002","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","16897"
"Persons Usually Resident and Present in the State","2002","Male","Train, DART or LUAS","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","262"
"Persons Usually Resident and Present in the State","2002","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","2132"
"Persons Usually Resident and Present in the State","2002","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","3800"
"Persons Usually Resident and Present in the State","2002","Male","Motorcycle or scooter","All persons","Number","17548"
"Persons Usually Resident and Present in the State","2002","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","15122"
"Persons Usually Resident and Present in the State","2002","Male","Motorcycle or scooter","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","1205"
"Persons Usually Resident and Present in the State","2002","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","1221"
"Persons Usually Resident and Present in the State","2002","Male","Motor car: Driver","All persons","Number","510035"
"Persons Usually Resident and Present in the State","2002","Male","Motor car: Driver","Population aged 15 years and over at work","Number","500004"
"Persons Usually Resident and Present in the State","2002","Male","Motor car: Driver","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","2002","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","1388"
"Persons Usually Resident and Present in the State","2002","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","8643"
"Persons Usually Resident and Present in the State","2002","Male","Motor car: Passenger","All persons","Number","211324"
"Persons Usually Resident and Present in the State","2002","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","52705"
"Persons Usually Resident and Present in the State","2002","Male","Motor car: Passenger","Children at school or childcare aged between 0 and 4 years","Number","0"
